,road,km,type,LRPName,name,length,condition,structureNr,roadName,chainage,width,constructionYear,spans,zone,circle,division,sub-division,lat,lon,EstimatedLoc
0,N1,1.8,Box Culvert,LRP001a,.,11.3,A,117861,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,1.8,19.5,2005.0,2.0,Dhaka,Dhaka,Narayanganj,Narayanganj-1,23.7028888888888,90.4503888888889,bcs1
1,N1,4.925,Box Culvert,LRP004b,.,6.6,A,117862,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,4.925,35.4,2006.0,1.0,Dhaka,Dhaka,Narayanganj,Narayanganj-1,23.6936111111111,90.4788333333333,bcs1
2,N1,8.976,PC Girder Bridge,LRP008b,Kanch pur Bridge.,394.23,A,119889,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,8.976,,,,Dhaka,Dhaka,Narayanganj,Narayanganj-1,23.7045833,90.5188327,road_precise
3,N1,10.88,Box Culvert,LRP010b,NOYAPARA CULVERT,6.3,A,112531,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,10.88,12.2,1992.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6998333333333,90.5307222222222,bcs1
4,N1,10.897,Box Culvert,LRP010c,ADUPUR CULVERT,6.3,A,112532,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,10.897,12.2,1984.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6996666666666,90.5307222222222,bcs1
5,N1,11.296,Box Culvert,LRP011a,NAYABARI KASPUR BOX CULVERT,8.3,A,101110,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,11.296,21.45,1986.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6973611111111,90.5338333333333,bcs1
6,N1,12.239,Box Culvert,LRP012a,KHAS PARA BOX CULVERT,9.3,A,101117,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12.239,21.0,1986.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6923333333333,90.541,bcs1
7,N1,12.253,Box Culvert,LRP012b,DAWAN BAG BOX CULVERT,6.1,A,101119,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12.253,20.6,1987.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6925555555555,90.5411388888888,bcs1
8,N1,12.66,PC Girder Bridge,LRP013a,Madanpur Bridge.(L),27.5,A,119897,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12.66,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6854997,90.5512778,road_precise
9,N1,12.66,PC Girder Bridge,LRP013a,MADAN PUR (R),26.3,A,109841,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12.66,9.2,2003.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6911111111111,90.5448888888888,bcs1
10,N1,12.66,PC Girder Bridge,LRP013a,MADANPUR BRIDGE(L),26.3,A,109838,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12.66,9.2,2003.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6911111111111,90.5448888888888,bcs1
11,N1,12.688,PC Girder Bridge,LRP013b,Madanpur Bridge(R),27.5,A,119900,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12.688,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6853619779342,90.5513591765258,road_interpolate
12,N1,13.574,Box Culvert,LRP014a,KAWTALA BOX CULVERT,11.9,A,109794,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,13.574,22.4,2003.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6856111111111,90.5511944444444,bcs1
13,N1,17.222,PC Girder Bridge,LRP018b,Darikandi Bridge (R),20.45,A,119926,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,17.222,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6506944,90.5829993,road_precise
14,N1,17.222,PC Girder Bridge,LRP018a,Darikandi Bridge (L),20.5,A,119921,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,17.222,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6508889,90.5826382,road_precise
15,N1,18.093,PC Girder Bridge,LRP018c,Sonakhal Bridge(L),25.5,A,119933,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,18.093,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6497543993548,90.5845490085483,road_interpolate
16,N1,19.76,Box Culvert,LRP020a,KRIBORDI BOX CULVERT,6.0,A,109817,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,19.76,21.0,2001.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6468055555555,90.5899166666666,bcs1
17,N1,21.184,PC Girder Bridge,LRP021c,Marikhali Bridge(L),86.92,A,119944,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,21.184,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6284668507692,90.6023015723077,road_interpolate
18,N1,21.184,PC Girder Bridge,LRP021d,Marikhali Bridge(R),89.75,A,119948,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,21.184,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6284668507692,90.6023015723077,road_interpolate
19,N1,21.184,PC Girder Bridge,LRP021c,MARIKHALL BRIDGE,89.2,A,101103,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,21.184,9.2,2000.0,3.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6341666666666,90.5968888888888,bcs1
20,N1,22.596,PC Girder Bridge,LRP023a,ASHIR CHAR (Right),224.8,A,109820,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,22.596,9.15,2004.0,9.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6242777777777,90.6054722222222,bcs1
21,N1,23.081,PC Girder Bridge,LRP023d,Asharirchar-2 Bridge.(R),119.32,A,119964,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,23.081,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.613587384385,90.6109029561497,road_interpolate
22,N1,23.081,PC Girder Bridge,LRP023c,Ashariachar-2 Bridge.(L),119.48,A,119961,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,23.081,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.613587384385,90.6109029561497,road_interpolate
23,N1,23.081,PC Girder Bridge,LRP023c,ASHARIR CHAR (L),120.1,A,109796,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,23.081,9.5,2000.0,4.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6205277777777,90.6079166666666,bcs1
24,N1,24.393,PC Girder Bridge,LRP024a,Meghna Bridge,924.85,A,119967,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,24.393,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6018611,90.6159722,road_precise
