,road,idx,lrp,lat,lon
0,N1,1,LRPS,23.7060278,90.443333
1,N101,1,LRPS,23.4541389,91.2128611
2,N102,1,LRPS,23.4789716,91.1181938
3,N103,1,LRPS,23.9570278,91.1155278
4,N104,1,LRPS,23.0096667,91.3994163
5,N105,1,LRPS,23.6904163,90.5466108
6,N106,1,LRPS,22.3935552,91.8215827
7,N107,1,LRPS,22.3944163,91.891833
8,N108,1,LRPS,22.1021389,92.0740827
9,N109,1,LRPS,21.4433608,92.1014722
10,N110,1,LRPS,21.4259438,92.0232493
11,N111,1,LRPS,22.393444100000004,91.7491386
12,N112,1,LRPS,23.0091944,91.3693882
13,N119,1,LRPS,23.4914441,90.9936108
14,N120,1,LRPS,23.4772771,91.1361108
15,N123,1,LRPS,22.8941386,91.5344719
16,N124,1,LRPS,22.8100556,91.5564722
17,N125,1,LRPS,22.7603889,91.5826104
18,N126,1,LRPS,22.7603889,91.5826104
19,N127,1,LRPS,22.6608056,91.6340274
20,N128,1,LRPS,22.624666,91.6548056
21,N129,1,LRPS,22.5226382,91.7040833
22,N2,1,LRPS,23.7059167,90.5214438
23,N203,1,LRPS,24.0537222,90.9875552
24,N204,1,LRPS,24.1479163,91.3466108
25,N205,1,LRPS,24.8677771,91.8571111
26,N206,1,LRPS,24.885944100000003,91.868166
27,N207,1,LRPS,24.2948608,91.51025
28,N208,1,LRPS,24.4713604,91.7655556
29,N209,1,LRPS,24.8775549,91.8753604
30,N210,1,LRPS,24.916277800000003,91.9495552
31,N211,1,LRPS,24.485583,91.7655833
32,N212,1,LRPS,25.1813882,92.0347219
33,N213,1,LRPS,24.0387497,91.0033889
34,N3,1,LRPS,23.8145833,90.4043056
35,N302,1,LRPS,23.8805827,90.4011389
36,N303,1,LRPS,24.6712771,90.4035833
37,N309,1,LRPS,24.740083,90.4249993
38,N4,1,LRPS,23.9893886,90.3818327
39,N401,1,LRPS,24.6071667,90.0287493
40,N402,1,LRPS,24.9718049,90.1785549
41,N403,1,LRPS,24.0964997,90.1162222
42,N404,1,LRPS,24.2425552,89.9404719
43,N405,1,LRP036c,24.4228049,89.5963608
44,N406,1,LRPS,23.9894163,90.2247493
45,N407,1,LRPS,24.2223049,89.9781104
46,N408,1,LRPS,24.2092778,89.9802493
47,N5,1,LRPS,23.7837774,90.3364163
48,N501,1,LRPS,23.7985552,90.3434163
49,N502,1,LRPS,24.821916,89.36275
50,N503,1,LRPS,23.8435552,89.8113333
51,N504,1,LRPS,23.9580556,89.6071944
52,N505,1,LRPS,23.892583,89.65302779999999
53,N506,1,LRPS,25.7161111,89.2623056
54,N507,1,LRPS,24.4192216,89.5518056
55,N508,1,LRPS,25.7565556,88.6736938
56,N509,1,LRPS,25.8698049,89.51025
57,N510,1,LRPS,24.8480552,89.3726938
58,N511,1,LRPS,23.8508611,90.3410552
59,N513,1,LRPS,23.8942774,89.6485274
60,N514,1,LRPS,24.8158333,89.3797216
61,N515,1,LRPS,24.8057778,89.3836941
62,N516,1,LRPS,24.838833,88.9114167
63,N517,1,LRPS,25.7095833,89.2610278
64,N518,1,LRPS,25.7808882,88.9160833
65,N519,1,LRPS,24.8283049,89.35416670000001
66,N520,1,LRPS,24.3049167,89.56522220000001
